trial ugf_Hz pm_deg adc_dB
121 1.25104E+08 89.1878 91.9278
122 1.34108E+08 89.2029 91.9277
123 1.29085E+08 89.1853 91.9278
124 1.33026E+08 89.2233 91.9277
125 1.28903E+08 89.2156 91.9278
126 1.27254E+08 89.1945 91.9278
127 1.31183E+08 89.1538 91.9278
128 1.38108E+08 89.1965 91.9277
129 1.32544E+08 89.2076 91.9277
130 1.23119E+08 89.1968 91.9278
131 1.28436E+08 89.1814 91.9278
132 1.28207E+08 89.1893 91.9278
133 1.27455E+08 89.195 91.9278
134 1.26279E+08 89.2068 91.9278
135 1.30633E+08 89.2134 91.9278
136 1.27428E+08 89.1729 91.9278
137 1.32295E+08 89.1736 91.9278
138 1.30967E+08 89.209 91.9278
139 1.3041E+08 89.2148 91.9278
140 1.28375E+08 89.157 91.9278
141 1.25431E+08 89.2198 91.9278
142 1.30947E+08 89.2019 91.9278
143 1.24684E+08 89.1928 91.9278
144 1.22553E+08 89.2039 91.9278
145 1.29477E+08 89.1677 91.9278
146 1.28981E+08 89.2213 91.9278
147 1.23415E+08 89.1906 91.9278
148 1.22519E+08 89.1951 91.9278
149 1.29555E+08 89.1741 91.9278
150 1.35101E+08 89.1845 91.9277
151 1.31099E+08 89.1895 91.9278
152 1.29232E+08 89.2029 91.9278
153 1.3084E+08 89.2148 91.9278
154 1.33476E+08 89.2096 91.9277
155 1.27725E+08 89.1732 91.9278
156 1.30058E+08 89.2056 91.9278
157 1.29916E+08 89.2069 91.9278
158 1.31227E+08 89.2015 91.9278
159 1.26039E+08 89.209 91.9278
160 1.3019E+08 89.1646 91.9278
161 1.31318E+08 89.2152 91.9277
162 1.26601E+08 89.1999 91.9278
163 1.28487E+08 89.2086 91.9278
164 1.32421E+08 89.2554 91.9277
165 1.27853E+08 89.1993 91.9278
166 1.24829E+08 89.2199 91.9278
167 1.27298E+08 89.1647 91.9278
168 1.2655E+08 89.2259 91.9278
169 1.27176E+08 89.1647 91.9278
170 1.32411E+08 89.2232 91.9277
171 1.27632E+08 89.2058 91.9278
172 1.29007E+08 89.2029 91.9278
173 1.3172E+08 89.197 91.9278
174 1.31976E+08 89.2066 91.9278
175 1.31636E+08 89.2243 91.9277
176 1.26332E+08 89.2097 91.9278
177 1.27701E+08 89.2041 91.9278
178 1.23037E+08 89.2178 91.9278
179 1.26356E+08 89.213 91.9278
180 1.291E+08 89.2202 91.9278
181 1.30396E+08 89.2063 91.9278
182 1.19831E+08 89.2076 91.9279
183 1.27635E+08 89.1906 91.9278
184 1.33555E+08 89.2327 91.9277
185 1.28652E+08 89.1954 91.9278
186 1.29814E+08 89.242 91.9277
187 1.27704E+08 89.2181 91.9278
188 1.31039E+08 89.1997 91.9278
189 1.31724E+08 89.2166 91.9277
190 1.23095E+08 89.1995 91.9278
191 1.31913E+08 89.2342 91.9277
192 1.31728E+08 89.2113 91.9277
193 1.3499E+08 89.2148 91.9277
194 1.27749E+08 89.2227 91.9278
195 1.25449E+08 89.1816 91.9278
196 1.28289E+08 89.1616 91.9278
197 1.29645E+08 89.2335 91.9277
198 1.32224E+08 89.1889 91.9278
199 1.27712E+08 89.2092 91.9278
200 1.30885E+08 89.2048 91.9277
