 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm13.msky130_f m.xdut.xm18.msky130_f m.xdut.xm12.msky130_f
      model xdut.xm13:sky130_fd_p xdut.xm18:sky130_fd_p xdut.xm12:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000111244           1.05074e-05           1.24165e-05
         gm           0.000418293           3.66098e-05           4.46582e-05
        gds           1.25869e-06            0.00171871           2.25047e-07
      vdsat              0.204343              0.204262             0.0468904
        vth               1.04143               1.04153               1.01289
         id           4.97823e-05           7.52015e-06           2.45448e-06
        ibd          -8.50764e-12            -1.754e-13          -1.40872e-11
        ibs           7.00948e-23           1.39543e-24           1.61812e-22
        gbd                 8e-12           4.00279e-11                 8e-12
        gbs            1.0269e-11           4.10759e-11            1.0269e-11
       isub           1.14901e-13           2.52184e-28           3.04042e-12
      igidl                     0                     0           8.51453e-16
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs           1.36526e-11           6.83897e-14           3.15152e-11
        vgs               1.24027               1.24027              0.855619
        vds               1.05345            0.00432645                1.7509
        cgg           1.65928e-13           8.41351e-13           2.44867e-13
        cgs          -1.53475e-13          -3.97702e-13          -1.54023e-13
        cgd           -2.0289e-17          -4.35558e-13           3.46101e-16
        cbg          -2.85846e-14          -1.88705e-14          -1.03744e-13
        cbd          -1.52889e-17          -2.34047e-13           6.44604e-17
        cbs          -2.26663e-14           1.12299e-14          -2.79737e-14
        cdg          -5.49742e-14          -4.11087e-13          -5.64568e-14
        cdd           3.36632e-17           4.47219e-13          -1.63018e-16
        cds           7.04866e-14           8.05508e-14           7.28075e-14
        csg           -8.2369e-14          -4.11394e-13          -8.46663e-14
        csd           1.91471e-18           2.22386e-13          -2.47544e-16
        css           1.05654e-13           3.05922e-13           1.09189e-13
        cgb          -1.24329e-14          -8.09045e-15          -9.11905e-14
        cdb          -1.55461e-14          -1.16683e-13          -1.61877e-14
        csb          -2.32873e-14          -1.16914e-13          -2.42755e-14
        cbb           5.12663e-14           2.41688e-13           1.31654e-13
      capbd           4.84201e-15           3.21911e-14           1.94258e-14
      capbs           4.73702e-15           1.89481e-14           2.39009e-14
         qg           1.44366e-13           6.35126e-13           2.33861e-13
         qb          -9.84687e-14          -3.62875e-13          -2.13076e-13
         qd           -1.8368e-14          -1.35638e-13          -8.31503e-15
         qs          -2.75298e-14          -1.36613e-13          -1.24699e-14
       qinv                     0                     0                     0
       qdef                    -0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.201968              0.201868            0.00409452
